2.87,449,480,11601,1446,135,6,50,1
2.23,403,431,11269,1197,147,6,50,1
3.96,511,531,15457,1737,192,7,50,1
3.51,460,489,14097,1291,126,3,50,1
2.69,405,436,11667,1167,118,7,50,1
8.26,496,469,11884,1008,66,1,50,1
3.03,465,510,15036,1179,141,2,50,1
1.95,425,435,11837,1443,142,3,50,1
2.69,395,450,12261,943,130,4,50,1
2.79,395,384,9148,1083,108,6,50,1
2.52,353,381,11716,615,101,5,50,1
2.32,424,475,13605,1356,136,3,50,1
2.59,469,494,10370,2262,170,6,50,1
2.62,464,490,14845,1852,152,5,50,1
2.88,408,462,14314,1175,126,3,50,1
3.5,415,461,12049,1220,143,4,50,1
3.03,461,472,12741,2257,132,6,50,1
3.72,528,567,13731,2272,201,10,50,1
2.41,438,470,10582,2096,167,4,50,1
3.26,491,519,15362,1822,181,6,50,1
2.16,346,352,10401,988,86,2,50,1
3.46,477,509,13527,2141,186,6,50,1
2.88,536,560,15048,2931,207,11,50,1
2.94,488,528,16144,2227,181,11,50,1
3.5,427,453,11457,1022,114,7,50,1
3.37,476,497,12901,2014,167,8,31,1
2.15,419,478,11596,1043,140,2,50,1
3.29,438,476,12967,1146,166,11,50,1
4.03,491,534,15790,1402,154,5,24,1
1.68,471,500,10533,4097,177,0,50,1
1.97,338,358,10020,617,102,5,50,1
2.89,458,479,12315,1663,143,7,50,1
1.96,504,515,10711,2865,236,6,50,1
2.38,440,485,11203,1547,162,4,50,1
2.5,398,413,11171,937,117,2,50,1
2.8,468,498,12918,1593,160,8,50,1
2.47,400,433,10812,1136,125,4,50,1
1.54,386,390,8551,1143,117,1,50,1
3.38,451,514,19920,1333,173,5,50,1
2.6,398,411,10025,1176,105,1,50,1
4.14,516,535,16730,2361,177,6,50,1
3.62,507,542,14299,1478,200,8,50,1
2.54,523,555,14025,2697,197,13,50,1
2.33,381,424,13166,836,100,3,50,1
2.67,469,506,13812,1360,170,13,50,1
4.41,506,559,16491,1423,118,5,50,1
2.26,428,467,11427,1677,146,7,50,1
1.92,359,363,11069,738,86,3,50,1
2.22,351,365,10181,758,101,1,50,1
2.81,455,476,13002,2317,165,4,50,1
2.69,490,537,16898,1461,152,1,50,1
3.54,524,535,17999,2218,186,10,50,1
2.7,378,420,9822,1017,116,5,50,1
